uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined,joined,saw_test,convergence_time_s,delivery_rate_joined_only,reconnect_samples_joined_only
UC1_P10,run-20251202-191226_uc7_p10_m2000_r10_s256_DIRECT,0.8998000000000002,0.0,1799.6,1799.6,2000.0,0.0,0.0,0.4,1.3,1.7,1.7,3.7,0.4,0.4,0.4,0.4,0.7,202853.0,1.0,66.0,66.0,66.0,66.0,3.9,3.6,0.5,1221.8,1.0,1.0,1.0,202.853,0.8998000000000002,0.5
UC1_P10,run-20251202-191603_uc7_p10_m2000_r10_s256_DIRECT,0.9995,0.0,1999.0,1999.0,2000.0,0.0,0.0,0.2,1.4,1.7,1.8,2.6,1.2,1.3,1.3,1.3,1.3,,1.0,22514.0,22514.0,22514.0,22514.0,3.1,2.9,0.8,509.6,1.0,1.0,1.0,,0.9995,0.8
UC1_P10,run-20251202-191938_uc7_p10_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.4,1.7,2.0,2.3,18.6,1.5,2.1,2.1,2.1,2.4,202887.9,1.0,47.333333333333336,67.83333333333333,67.83333333333333,67.83333333333333,4.1,3.8,0.9,6331.6,1.0,1.0,1.0,202.8879,1.0,0.9
UC1_P10,run-20251202-192320_uc7_p10_m2000_r10_s256_DIRECT,0.9999,0.0,1999.8,1999.8,2000.0,0.0,0.0,0.0,1.0,1.6,1.7,8.8,0.6,0.7,0.9,0.9,1.4,202904.125,1.0,77.42857142857143,83.14285714285714,83.14285714285714,83.14285714285714,4.4,4.2,0.8,5916.0,1.0,1.0,1.0,202.904125,0.9999,0.8
UC1_P10,run-20251202-192701_uc7_p10_m2000_r10_s256_DIRECT,0.89955,0.0,1799.1,1799.1,1800.0,0.0,0.0,0.0,1.0,1.5555555555555556,1.5555555555555556,2.111111111111111,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,,1.0,46997.6,46997.6,46997.6,46997.6,3.8,3.8,0.5,2675.6,1.0,1.0,0.9,,0.89955,0.5
UC1_P10,run-20251202-193039_uc7_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.1,1.7,1.7,2.8,0.8,0.9,0.9,0.9,1.1,202750.0,1.0,81.6,81.6,81.6,81.6,4.3,4.1,0.5,458.1,1.0,1.0,1.0,202.75,0.99975,0.5
UC1_P10,run-20251202-193414_uc7_p10_m2000_r10_s256_DIRECT,0.9995499999999999,0.0,1999.1,1999.1,2000.0,0.0,0.0,0.0,1.0,1.5,1.6,2.3,0.5,0.6,0.7,0.7,0.7,202858.0,1.0,7514.5,7514.5,7514.5,7514.5,4.2,3.8,0.8,521.4,1.0,1.0,1.0,202.858,0.9995499999999999,0.8
UC1_P10,run-20251202-193750_uc7_p10_m2000_r10_s256_DIRECT,0.9995,0.0,1999.0,1999.0,2000.0,0.0,0.0,0.0,1.0,1.6,1.6,2.2,0.7,0.7,0.7,0.7,0.8,,1.0,80.85714285714286,80.85714285714286,80.85714285714286,80.85714285714286,4.2,4.1,0.7,3623.6,1.0,1.0,1.0,,0.9995,0.7
UC1_P10,run-20251202-194128_uc7_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.1,1.6,1.6,5.0,0.5,0.8,0.8,0.8,0.9,202923.8,1.0,73.8,82.6,82.6,82.6,3.7,3.5,0.6,503.7,1.0,1.0,1.0,202.9238,0.99975,0.6
UC1_P10,run-20251202-194504_uc7_p10_m2000_r10_s256_DIRECT,0.9997,0.0,1999.4,1999.4,2000.0,0.0,0.0,0.0,0.7,1.0,1.1,17.7,0.8,1.0,1.0,1.0,1.1,202053.0,1.0,79.25,79.25,79.25,79.25,3.1,3.0,0.8,4686.5,1.0,1.0,1.0,202.053,0.9997,0.8
UC1_P10,run-20251203-110548_uc7_p10_m2000_r10_s256_DIRECT,0.9999499999999999,0.0,1999.9,1999.9,2000.0,0.0,0.0,0.0,1.7,2.2,2.5,20.9,0.9,0.9,0.9,0.9,1.7,207975.22222222222,1.0,25203.571428571428,25208.85714285714,25208.85714285714,25208.85714285714,4.8,3.9,0.8,4459.7,1.0,1.0,1.0,207.97522222222221,0.9999499999999999,0.8
UC1_P10,run-20251203-110935_uc7_p10_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.8,2.6,3.1,89.4,0.5,0.8,1.6,1.6,2.7,207719.0,1.0,22846.4,22862.8,22862.8,22862.8,5.2,4.5,0.6,6057.5,1.0,1.0,1.0,207.719,1.0,0.6
UC1_P10,run-20251203-111324_uc7_p10_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.5,2.0,2.6,3.0,32.6,1.0,1.5,1.5,1.5,2.1,207282.8,1.0,19721.833333333332,39401.833333333336,39401.833333333336,39401.833333333336,3.3,2.7,0.9,1999.9,1.0,1.0,1.0,207.28279999999998,1.0,0.9
UC1_P10,run-20251203-111709_uc7_p10_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.4,1.8,2.4,2.8,27.0,0.9,1.2,1.2,1.2,1.7,207919.6,1.0,16121.857142857143,16134.714285714286,16134.714285714286,16134.714285714286,4.7,4.0,0.8,7673.6,1.0,1.0,1.0,207.9196,1.0,0.8
UC1_P10,run-20251203-112101_uc7_p10_m2000_r10_s256_DIRECT,0.9995,0.0,1999.0,1999.0,2000.0,0.0,0.0,0.0,1.8,2.2,2.6,4.9,0.8,0.9,1.0,1.0,1.0,,1.0,24713.85714285714,24713.85714285714,24713.85714285714,24713.85714285714,4.3,3.6,0.7,3770.7,1.0,1.0,1.0,,0.9995,0.7
UC1_P10,run-20251203-112448_uc7_p10_m2000_r10_s256_DIRECT,0.9995,0.0,1999.0,1999.0,2000.0,0.0,0.0,0.0,1.6,2.2,2.5,6.3,0.8,0.8,0.8,0.8,0.8,,1.0,8544.0,8544.0,8544.0,8544.0,4.4,3.8,0.7,520.9,1.0,1.0,1.0,,0.9995,0.7
UC1_P10,run-20251203-112831_uc7_p10_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.7,2.4,2.7,37.0,1.0,1.1,1.1,1.1,1.9,207802.9,1.0,46.75,46.75,46.75,46.75,4.3,3.5,0.8,1272.1,1.0,1.0,1.0,207.8029,1.0,0.8
UC1_P10,run-20251203-113217_uc7_p10_m2000_r10_s256_DIRECT,0.9995,0.0,1999.0,1999.0,2000.0,0.0,0.0,0.0,1.6,2.1,2.6,6.1,0.7,0.7,0.7,0.7,0.7,,1.0,90.0,90.0,90.0,90.0,4.9,4.1,0.6,4580.2,1.0,1.0,1.0,,0.9995,0.6
UC1_P10,run-20251203-113606_uc7_p10_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.6,2.2,2.7,34.2,1.0,1.0,1.0,1.0,2.5,207506.4,1.0,48.75,48.75,48.75,48.75,4.9,4.1,0.8,2663.7,1.0,1.0,1.0,207.50639999999999,1.0,0.8
UC1_P10,run-20251203-113952_uc7_p10_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.8,2.6,2.8,8.5,0.8,1.3,1.3,1.3,1.7,207402.3,1.0,75.28571428571429,82.0,82.0,82.0,5.1,4.2,0.8,4409.4,1.0,1.0,1.0,207.4023,1.0,0.8
