uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined,joined,saw_test,convergence_time_s,delivery_rate_joined_only,reconnect_samples_joined_only,join_wait_ms_joined_only
UC1_P10,run-20251130-191904_uc1_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.0,1.0,1.4,3.7,0.6,0.7,0.7,0.7,1.2,202347.0,1.0,174.16666666666666,174.16666666666666,174.16666666666666,174.16666666666666,2.9,2.8,0.6,1429.4,1.0,1.0,1.0,202.347,0.99975,0.6,1429.4
UC1_P10,run-20251130-192239_uc1_p10_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.2,1.9,7.4,1.4,1.6,1.6,1.6,2.4,202406.0,1.0,68.85714285714286,124.0,124.0,124.0,3.2,3.0,1.0,719.6,1.0,1.0,1.0,202.406,1.0,1.0,719.6
UC1_P10,run-20251130-192612_uc1_p10_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,0.0,0.0,1.0,1.1,1.5,2.4,0.6,0.6,0.6,0.6,0.7,202507.66666666666,1.0,9594.166666666666,9594.166666666666,9594.166666666666,9594.166666666666,3.2,3.1,0.6,2979.9,1.0,1.0,1.0,202.50766666666667,0.9996500000000001,0.6,2979.9
UC1_P10,run-20251130-192948_uc1_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,0.9,1.0,1.5,4.0,0.5,0.5,0.5,0.5,0.9,202616.6,1.0,11486.2,11495.8,11495.8,11495.8,3.4,3.2,0.6,2928.3,1.0,1.0,1.0,202.6166,0.99975,0.6,2928.3
UC1_P10,run-20251130-193323_uc1_p10_m2000_r10_s256_DIRECT,0.9997,0.0,1999.4,1999.4,2000.0,0.0,0.0,0.0,0.5,1.0,1.5,2.2,0.6,0.7,0.7,0.7,0.9,202399.5,1.0,91.25,91.25,91.25,91.25,3.2,2.9,0.4,4848.8,1.0,1.0,1.0,202.3995,0.9997,0.4,4848.8
UC1_P10,run-20251130-193701_uc1_p10_m2000_r10_s256_DIRECT,0.9995499999999999,0.0,1999.1,1999.1,2000.0,0.0,0.0,0.0,0.7,1.0,1.3,2.0,0.7,0.7,0.7,0.7,0.7,202369.0,1.0,87.33333333333333,87.33333333333333,87.33333333333333,87.33333333333333,3.4,3.3,0.6,3800.9,1.0,1.0,1.0,202.369,0.9995499999999999,0.6,3800.9
UC1_P10,run-20251130-194038_uc1_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.0,1.0,1.3,2.2,0.4,0.6,0.6,0.6,0.9,202398.0,1.0,84.16666666666667,92.5,92.5,92.5,3.1,2.7,0.7,8040.1,1.0,1.0,1.0,202.398,0.99975,0.7,8040.1
UC1_P10,run-20251130-194418_uc1_p10_m2000_r10_s256_DIRECT,0.8999499999999999,0.0,1799.9,1799.9,2000.0,0.0,0.0,0.3,1.2,1.3,1.8,6.9,0.7,0.7,0.7,0.7,1.5,202832.57142857142,1.0,58.142857142857146,64.57142857142857,64.57142857142857,64.57142857142857,4.1,4.0,0.8,3744.5,1.0,1.0,1.0,202.8325714285714,0.8999499999999999,0.8,3744.5
UC1_P10,run-20251130-194755_uc1_p10_m2000_r10_s256_DIRECT,0.9995499999999999,0.0,1999.1,1999.1,2000.0,0.0,0.0,0.0,1.0,1.1,1.5,2.0,0.5,0.6,0.6,0.6,0.6,202757.0,1.0,86.0,86.0,86.0,86.0,4.1,3.8,0.5,2166.5,1.0,1.0,1.0,202.757,0.9995499999999999,0.5,2166.5
UC1_P10,run-20251130-195130_uc1_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.0,1.0,1.6,2.1,0.5,0.6,0.6,0.6,0.7,202889.0,1.0,91.0,91.0,91.0,91.0,3.1,2.7,0.3,1414.1,1.0,1.0,1.0,202.889,0.99975,0.3,1414.1
UC1_P20,run-20251130-200226_uc1_p20_m2000_r10_s256_DIRECT,0.9995,0.0,1999.0,1999.0,2000.0,0.0,0.0,0.0,1.0,1.35,1.85,2.15,1.35,1.5,1.5,1.5,1.5,,1.0,90.75,90.75,90.75,90.75,4.8,4.6,0.6,7534.1,1.0,1.0,1.0,,0.9995,0.6,7534.1
UC1_P20,run-20251130-200609_uc1_p20_m2000_r10_s256_DIRECT,0.9995,0.0,1999.0,1999.0,2000.0,0.0,0.0,0.0,1.0,1.4,1.75,2.3,1.15,1.25,1.3,1.3,1.3,,1.0,13771.76923076923,13771.76923076923,13771.76923076923,13771.76923076923,3.6,3.55,0.65,2113.55,1.0,1.0,1.0,,0.9995,0.65,2113.55
UC1_P20,run-20251130-200946_uc1_p20_m2000_r10_s256_DIRECT,0.999525,0.0,1999.05,1999.05,2000.0,0.0,0.0,0.0,1.0,1.45,1.75,2.15,1.2,1.3,1.3,1.3,1.3,202707.0,1.0,77.77777777777777,77.77777777777777,77.77777777777777,77.77777777777777,3.55,3.35,0.45,5278.4,1.0,1.0,1.0,202.707,0.999525,0.45,5278.4
