uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,churn_pct,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC5_P10_C10,run-20251216-210334_uc5_p10_c10_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,6.5,10.0,0.0,1.0,1.0,809.4,1020.5,0.6,0.6,0.8,0.8,0.8,1.0,3.950024714047506,0.0,0.0,,,,1.9,5.5,2013.4,1.0,1.0,1.0,0.9996500000000001
UC5_P10_C10,run-20251216-210736_uc5_p10_c10_m2000_r10_s256_DIRECT,0.9995499999999999,0.0,1999.1,1999.1,2000.0,0.0,2.5,10.0,0.0,1.0,1.0,801.4,1004.5,0.4,0.6,0.6,0.7,0.7,1.0,3.7486769567790583,0.0,0.0,,,,3.9,7.2,2756.0,1.0,1.0,1.0,0.9995499999999999
UC5_P10_C10,run-20251216-211138_uc5_p10_c10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,10.0,0.0,1.0,1.0,811.2,1020.6,0.4,0.5,0.5,0.5,0.8,1.0,3.8998827854137743,0.2,0.1,2.0,2.0,2.0,2.6,6.1,483.2,1.0,1.0,1.0,0.99975
UC5_P10_C10,run-20251216-211539_uc5_p10_c10_m2000_r10_s256_DIRECT,0.9997,0.0,1999.4,1999.4,2000.0,0.0,6.5,10.0,0.0,1.0,1.0,811.6,1014.9,0.4,0.5,0.5,0.5,0.6,1.0,3.702161322908746,0.4,0.1,4.0,4.0,4.0,3.9,7.0,6006.5,1.0,1.0,1.0,0.9997
UC5_P10_C10,run-20251216-211945_uc5_p10_c10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,10.0,0.0,1.0,1.1,805.4,1040.3,0.5,0.6,0.7,0.9,1.0,1.0,3.8998998807412297,0.0,0.0,,,,3.3,6.6,471.1,1.0,1.0,1.0,0.99975
UC5_P10_C10,run-20251216-212346_uc5_p10_c10_m2000_r10_s256_DIRECT,0.89955,0.0,1799.1,1799.1,1800.0,0.0,6.5,10.0,0.0,1.0,1.1111111111111112,901.2222222222222,1127.111111111111,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,4.44869594876489,0.0,0.0,,,,4.5,8.1,485.3,1.0,1.0,0.9,0.89955
UC5_P10_C10,run-20251216-212747_uc5_p10_c10_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,6.5,10.0,0.0,1.0,1.2,811.7,1015.1,0.5,0.9,0.9,1.0,1.2,1.0,4.099866412074789,0.0,0.0,,,,4.0,7.3,5337.9,1.0,1.0,1.0,0.9996500000000001
UC5_P10_C10,run-20251216-213153_uc5_p10_c10_m2000_r10_s256_DIRECT,0.9995,0.0,1999.0,1999.0,2000.0,0.0,0.0,10.0,0.0,1.0,1.2,800.6,1007.2,0.5,0.9,0.9,0.9,0.9,1.0,4.399866832920378,0.4,0.1,4.0,4.0,4.0,3.7,7.5,1251.6,1.0,1.0,1.0,0.9995
UC5_P10_C10,run-20251216-213554_uc5_p10_c10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,6.5,10.0,0.0,1.0,1.2,811.2,1024.4,0.5,0.9,1.1,1.4,1.5,1.0,4.550602781767251,0.0,0.0,,,,5.1,8.0,2726.9,1.0,1.0,1.0,0.99975
UC5_P10_C10,run-20251216-213957_uc5_p10_c10_m2000_r10_s256_DIRECT,0.9995499999999999,0.0,1999.1,1999.1,2000.0,0.0,0.0,10.0,0.0,1.0,1.0,805.9,1014.8,0.5,0.6,0.6,0.6,0.6,1.0,4.349612269764075,0.0,0.0,,,,2.9,6.8,5125.6,1.0,1.0,1.0,0.9995499999999999
