uc,run,avg_connected_peers
UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,4.341954542000954
UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,4.014207361168958
UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,4.229041363533037
UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,4.076608532926258
UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,3.9998611134387105
UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,4.499811479262891
UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,4.147517120598559
UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,4.270948628051852
UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,4.5002899087385595
UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,3.9276376598322797
UC1_P50,run-20251203-232900_uc7_p50_m2000_r10_s256_DIRECT,0.0
UC1_P50,run-20251203-232954_uc7_p50_m2000_r10_s256_DIRECT,3.9582578228738567
UC1_P50,run-20251203-233355_uc7_p50_m2000_r10_s256_DIRECT,3.863009464004549
UC1_P50,run-20251203-233800_uc7_p50_m2000_r10_s256_DIRECT,3.8165420811884023
UC1_P50,run-20251203-234205_uc7_p50_m2000_r10_s256_DIRECT,3.868669222436944
UC1_P50,run-20251203-234607_uc7_p50_m2000_r10_s256_DIRECT,3.7252959151330227
UC1_P50,run-20251203-235012_uc7_p50_m2000_r10_s256_DIRECT,3.843815707224883
UC1_P50,run-20251203-235414_uc7_p50_m2000_r10_s256_DIRECT,3.847606531241366
UC1_P50,run-20251203-235813_uc7_p50_m2000_r10_s256_DIRECT,3.8519430552227703
UC1_P50,run-20251204-000214_uc7_p50_m2000_r10_s256_DIRECT,3.7560598006585852
UC2_P10,run-20251203-203530_uc8_p10_m2000_r10_s256_RELAY,3.5309269875003677
UC2_P10,run-20251203-204035_uc8_p10_m2000_r10_s256_RELAY,3.4528624118187823
UC2_P10,run-20251203-204445_uc8_p10_m2000_r10_s256_RELAY,3.0759742566590287
UC2_P10,run-20251203-204855_uc8_p10_m2000_r10_s256_RELAY,3.1981679072250855
UC2_P10,run-20251203-205306_uc8_p10_m2000_r10_s256_RELAY,3.776731939242995
UC2_P10,run-20251203-205717_uc8_p10_m2000_r10_s256_RELAY,3.459882453162815
UC2_P10,run-20251203-210127_uc8_p10_m2000_r10_s256_RELAY,3.1146872607023335
UC2_P10,run-20251203-210537_uc8_p10_m2000_r10_s256_RELAY,3.46483390065467
UC2_P10,run-20251203-210949_uc8_p10_m2000_r10_s256_RELAY,3.192517380594102
UC2_P10,run-20251203-211408_uc8_p10_m2000_r10_s256_RELAY,3.6511090012561267
UC2_P50,run-20251204-000810_uc8_p50_m2000_r10_s256_RELAY,3.171413622213541
UC2_P50,run-20251204-001221_uc8_p50_m2000_r10_s256_RELAY,3.221317862924696
UC2_P50,run-20251204-001632_uc8_p50_m2000_r10_s256_RELAY,2.8409049365843457
UC2_P50,run-20251204-002048_uc8_p50_m2000_r10_s256_RELAY,3.0312431122527452
UC2_P50,run-20251204-002502_uc8_p50_m2000_r10_s256_RELAY,2.951803464709913
UC2_P50,run-20251204-002913_uc8_p50_m2000_r10_s256_RELAY,3.0149795958397094
UC2_P50,run-20251204-003334_uc8_p50_m2000_r10_s256_RELAY,3.2819235076909967
UC2_P50,run-20251204-003749_uc8_p50_m2000_r10_s256_RELAY,3.075586297779858
UC2_P50,run-20251204-004202_uc8_p50_m2000_r10_s256_RELAY,2.956760207801901
UC2_P50,run-20251204-004611_uc8_p50_m2000_r10_s256_RELAY,3.142693927941997
