uc,run,delivery_rate_joined_only
UC3_P10,run-20251201-173058_uc3_p10_m2000_r10_s256_DIRECT,0.9923500000000001
UC3_P10,run-20251201-173444_uc3_p10_m2000_r10_s256_DIRECT,0.9884999999999999
UC3_P10,run-20251201-173829_uc3_p10_m2000_r10_s256_DIRECT,0.9916
UC3_P10,run-20251201-174216_uc3_p10_m2000_r10_s256_DIRECT,0.98675
UC3_P10,run-20251201-174603_uc3_p10_m2000_r10_s256_DIRECT,0.98955
UC3_P10,run-20251201-174948_uc3_p10_m2000_r10_s256_DIRECT,0.9914
UC3_P10,run-20251201-175334_uc3_p10_m2000_r10_s256_DIRECT,0.9910500000000001
UC3_P10,run-20251201-175720_uc3_p10_m2000_r10_s256_DIRECT,0.98795
UC3_P10,run-20251201-180105_uc3_p10_m2000_r10_s256_DIRECT,0.9903000000000001
UC3_P10,run-20251201-180451_uc3_p10_m2000_r10_s256_DIRECT,0.9935
UC3_P50,run-20251201-201129_uc3_p50_m2000_r10_s256_DIRECT,0.992264705882353
UC3_P50,run-20251201-201529_uc3_p50_m2000_r10_s256_DIRECT,0.9853478260869565
UC3_P50,run-20251201-201929_uc3_p50_m2000_r10_s256_DIRECT,0.9914428571428571
UC3_P50,run-20251201-202329_uc3_p50_m2000_r10_s256_DIRECT,0.9936999999999999
UC3_P50,run-20251201-202729_uc3_p50_m2000_r10_s256_DIRECT,0.9860212765957448
UC3_P50,run-20251201-203129_uc3_p50_m2000_r10_s256_DIRECT,0.9858023255813954
UC3_P50,run-20251201-203529_uc3_p50_m2000_r10_s256_DIRECT,0.9870869565217391
UC3_P50,run-20251201-203929_uc3_p50_m2000_r10_s256_DIRECT,0.9949411764705883
UC3_P50,run-20251201-204333_uc3_p50_m2000_r10_s256_DIRECT,0.9920921052631579
UC3_P50,run-20251201-204734_uc3_p50_m2000_r10_s256_DIRECT,0.9922837837837838
UC4_P10,run-20251201-165245_uc4_p10_m2000_r10_s256_RELAY,1.0
UC4_P10,run-20251201-165640_uc4_p10_m2000_r10_s256_RELAY,0.9974999999999999
UC4_P10,run-20251201-170028_uc4_p10_m2000_r10_s256_RELAY,0.9995625
UC4_P10,run-20251201-170416_uc4_p10_m2000_r10_s256_RELAY,0.9995555555555556
UC4_P10,run-20251201-170805_uc4_p10_m2000_r10_s256_RELAY,1.0
UC4_P10,run-20251201-171153_uc4_p10_m2000_r10_s256_RELAY,0.9993571428571428
UC4_P10,run-20251201-171541_uc4_p10_m2000_r10_s256_RELAY,1.0
UC4_P10,run-20251201-171929_uc4_p10_m2000_r10_s256_RELAY,0.9996
UC4_P10,run-20251201-172318_uc4_p10_m2000_r10_s256_RELAY,0.9951428571428572
UC4_P10,run-20251201-172706_uc4_p10_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251201-221723_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-221813_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-221902_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-221952_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-222041_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-222130_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-222219_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-222309_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-222358_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251202-021113_uc4_p50_m2000_r10_s256_RELAY,0.9986282051282052
UC4_P50,run-20251202-021507_uc4_p50_m2000_r10_s256_RELAY,0.9968255813953489
UC4_P50,run-20251202-021902_uc4_p50_m2000_r10_s256_RELAY,0.9985375
UC4_P50,run-20251202-022257_uc4_p50_m2000_r10_s256_RELAY,0.9981375
UC4_P50,run-20251202-022651_uc4_p50_m2000_r10_s256_RELAY,0.9994487179487178
UC4_P50,run-20251202-023045_uc4_p50_m2000_r10_s256_RELAY,0.9991590909090909
UC4_P50,run-20251202-023440_uc4_p50_m2000_r10_s256_RELAY,0.9989431818181818
UC4_P50,run-20251202-023835_uc4_p50_m2000_r10_s256_RELAY,0.997857142857143
UC4_P50,run-20251202-024230_uc4_p50_m2000_r10_s256_RELAY,0.996284090909091
UC4_P50,run-20251202-024625_uc4_p50_m2000_r10_s256_RELAY,0.995219512195122
