received_unique,recv_total,total_expected,delivery_rate,duplicate_rate,duplicates,out_of_order,lagged_events,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,joined,join_wait_ms,saw_test,timed_out_no_data,peer,uc,run,sender_joined
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.999970848738965,0,0,,,,8,12,True,711,True,False,peer1,UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.999854239445721,0,0,,,,6,10,True,437,True,False,peer10,UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.9997424871850935,0,0,,,,3,7,True,436,True,False,peer2,UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.999868814863762,0,0,,,,5,8,True,441,True,False,peer3,UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9998493836877675,0,0,,,,2,5,True,438,True,False,peer4,UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999781359168582,0,0,,,,5,9,True,439,True,False,peer5,UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9998882469838835,0,0,,,,1,5,True,448,True,False,peer6,UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.710400116609576,2,1,2.0,2.0,2.0,5,9,True,438,True,False,peer7,UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999791081614211,0,0,,,,1,5,True,437,True,False,peer8,UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.710398841711973,0,0,,,,3,7,True,438,True,False,peer9,UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.1435553137327297,0,0,,,,8,12,True,3706,True,False,peer1,UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9998542599807623,3,1,3.0,3.0,3.0,3,6,True,3430,True,False,peer10,UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999791100898266,0,0,,,,3,7,True,3435,True,False,peer2,UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.999854256440651,0,0,,,,3,7,True,3434,True,False,peer3,UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9998396859788388,0,0,,,,5,8,True,3433,True,False,peer4,UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9998591172969955,0,0,,,,2,5,True,3432,True,False,peer5,UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999786246933372,0,0,,,,5,9,True,3431,True,False,peer6,UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.999829970803558,2,1,2.0,2.0,2.0,3,7,True,3431,True,False,peer7,UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.999859118665805,0,0,,,,6,10,True,3432,True,False,peer8,UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.999844540958599,0,0,,,,0,4,True,3436,True,False,peer9,UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.999956282878918,0,0,,,,10,14,True,4457,True,False,peer1,UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999849414416384,0,0,,,,2,6,True,4188,True,False,peer10,UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1458438580810633,0,0,,,,4,7,True,4188,True,False,peer2,UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999805698852652,0,0,,,,4,8,True,4186,True,False,peer3,UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999708546863236,0,0,,,,2,6,True,4188,True,False,peer4,UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,4.999776559107402,0,0,,,,2,6,True,4180,True,False,peer5,UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999791128295802,0,0,,,,3,7,True,4184,True,False,peer6,UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.99992713636187,0,0,,,,0,2,True,4189,True,False,peer7,UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.145895874015136,0,0,,,,3,7,True,4186,True,False,peer8,UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9998591364579132,0,0,,,,5,8,True,4185,True,False,peer9,UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9999465705584347,0,0,,,,10,14,True,5378,True,False,peer1,UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.999698852238451,0,0,,,,5,9,True,5105,True,False,peer10,UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.441858205910354,0,0,,,,4,7,True,5108,True,False,peer2,UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.4417691945268825,0,0,,,,3,7,True,5108,True,False,peer3,UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999708561020037,0,0,,,,3,7,True,5107,True,False,peer4,UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.441819347568439,0,0,,,,4,7,True,5109,True,False,peer5,UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9998494224622827,0,0,,,,3,6,True,5109,True,False,peer6,UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9998979958615464,0,0,,,,3,7,True,5110,True,False,peer7,UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.999863995803299,0,0,,,,1,4,True,5107,True,False,peer8,UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.441673183312853,0,0,,,,4,8,True,5103,True,False,peer9,UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.999966006876323,0,0,,,,8,12,True,4699,True,False,peer1,UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.999898017657514,0,0,,,,2,6,True,4430,True,False,peer10,UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9999465809371646,0,0,,,,3,5,True,4429,True,False,peer2,UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,3.999864029486177,0,0,,,,5,9,True,4425,True,False,peer3,UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999791185097415,0,0,,,,3,7,True,4424,True,False,peer4,UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.999781475959928,0,0,,,,3,7,True,4425,True,False,peer5,UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.999873737373737,0,0,,,,3,7,True,4428,True,False,peer6,UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.99980575357899,0,0,,,,5,9,True,4425,True,False,peer7,UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.9998737386000522,0,0,,,,1,5,True,4428,True,False,peer8,UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.9998106088198018,0,0,,,,3,6,True,4424,True,False,peer9,UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,3.9999854238029298,0,0,,,,11,15,True,2315,True,False,peer1,UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,3.999829945193765,0,0,,,,6,10,True,2042,True,False,peer10,UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999761919800984,0,0,,,,3,7,True,2042,True,False,peer2,UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999771634031388,0,0,,,,2,6,True,2043,True,False,peer3,UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999761919800984,0,0,,,,3,7,True,2041,True,False,peer4,UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.999771636250559,0,0,,,,5,8,True,2041,True,False,peer5,UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.999752201037841,0,0,,,,4,8,True,2041,True,False,peer6,UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999825082235644,0,0,,,,3,7,True,2043,True,False,peer7,UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999752204649807,0,0,,,,3,7,True,2042,True,False,peer8,UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.999902825825009,0,0,,,,1,4,True,2044,True,False,peer9,UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0,0,,,,8,12,True,6381,True,False,peer1,UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.738212013791094,0,0,,,,4,7,True,6111,True,False,peer10,UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.99980576301145,0,0,,,,2,6,True,6105,True,False,peer2,UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9999125929307104,0,0,,,,2,5,True,6109,True,False,peer3,UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7381828776768806,0,0,,,,4,7,True,6108,True,False,peer4,UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,3.999820333402934,0,0,,,,5,9,True,6105,True,False,peer5,UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999786339312595,0,0,,,,2,6,True,6108,True,False,peer6,UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,3.999815478444969,0,0,,,,5,9,True,6106,True,False,peer7,UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.9998834583727874,0,0,,,,4,7,True,6106,True,False,peer8,UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.999752349042174,0,0,,,,4,8,True,6106,True,False,peer9,UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,3.99995142542102,0,0,,,,7,10,True,752,True,False,peer1,UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9999854262812726,0,0,,,,7,10,True,491,True,False,peer10,UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.999931992285982,0,0,,,,1,5,True,486,True,False,peer2,UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.9998785606031166,0,0,,,,6,9,True,480,True,False,peer3,UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.999834840013407,0,0,,,,2,6,True,480,True,False,peer4,UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.710715257267216,0,0,,,,4,8,True,482,True,False,peer5,UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.999679401549559,0,0,,,,1,5,True,478,True,False,peer6,UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.9998251255695565,0,0,,,,0,4,True,482,True,False,peer7,UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.9998882746694386,0,0,,,,2,6,True,483,True,False,peer8,UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999795976857946,0,0,,,,3,7,True,480,True,False,peer9,UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,87.0,0.0,1.0,1.0,1.0,1.0,1.0,3.9999562968897955,0,0,,,,11,15,True,766,True,False,peer1,UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,87.0,2.0,3.0,3.0,3.0,3.0,1.0,4.9997669122181705,0,0,,,,5,9,True,493,True,False,peer10,UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,88.0,3.0,3.0,3.0,3.0,3.0,1.0,3.9998251841636274,0,0,,,,3,6,True,493,True,False,peer2,UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,4.999728095943288,0,0,,,,2,5,True,493,True,False,peer3,UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,87.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0046714903122425,0,0,,,,4,7,True,493,True,False,peer4,UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,87.0,2.0,2.0,2.0,2.0,2.0,1.0,4.999684366426299,0,1,0.0,0.0,0.0,3,7,True,490,True,False,peer5,UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,2.0,2.0,2.0,88.0,3.0,4.0,4.0,4.0,4.0,1.0,3.9998494634098964,0,0,,,,3,6,True,493,True,False,peer6,UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,2.0,2.0,3.0,88.0,4.0,5.0,5.0,5.0,5.0,1.0,4.99979119118147,0,0,,,,3,7,True,493,True,False,peer7,UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,87.0,0.0,1.0,1.0,1.0,1.0,1.0,3.999844606636268,0,0,,,,1,5,True,494,True,False,peer8,UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,87.0,1.0,2.0,2.0,2.0,2.0,1.0,4.999781480204534,0,0,,,,2,6,True,493,True,False,peer9,UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.1377168381605998,0,0,,,,10,14,True,3101,True,False,peer1,UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.999839604942112,0,0,,,,5,9,True,2830,True,False,peer10,UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.999907649085969,0,0,,,,3,7,True,2827,True,False,peer2,UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.999805577968095,0,0,,,,3,7,True,2829,True,False,peer3,UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999766695829688,0,1,0.0,0.0,0.0,2,6,True,2830,True,False,peer4,UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.139991542764933,0,0,,,,1,5,True,2828,True,False,peer5,UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9997958578587434,1,1,1.0,1.0,1.0,5,9,True,2827,True,False,peer6,UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,True
