received_unique,recv_total,total_expected,delivery_rate,duplicate_rate,duplicates,out_of_order,lagged_events,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,joined,join_wait_ms,saw_test,timed_out_no_data,peer,uc,run,sender_joined
2000,2000,2000,1.0,0.0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.987517214013958,0,0,,,,4,8,True,761,True,False,peer1,UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,True
1916,1916,2000,0.958,0.0,0,109,0,34.0,101.0,304.0,510.0,708.0,1.0,1.0,2.0,2.0,3.0,1.0,2.6459720291953777,0,0,,,,0,3,True,8976,True,False,peer10,UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,True
1957,1957,2000,0.9785,0.0,0,163,0,31.0,104.0,307.0,505.0,773.0,1.0,1.0,2.0,3.0,4.0,1.0,3.806080248235557,772,1,772.0,772.0,772.0,2,6,True,4829,True,False,peer2,UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,True
1899,1899,2000,0.9495,0.0,0,103,0,31.0,99.0,302.0,497.0,611.0,1.0,1.0,1.0,2.0,3.0,1.0,2.182954322681827,0,0,,,,1,5,True,10725,True,False,peer3,UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,True
1987,1987,2000,0.9935,0.0,0,216,0,35.0,113.0,321.0,529.0,741.0,0.0,0.0,2.0,3.0,3.0,1.0,3.754071577128746,456,1,456.0,456.0,456.0,5,8,True,1748,True,False,peer4,UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,True
1988,1988,2000,0.994,0.0,0,138,0,36.0,99.0,305.0,526.0,792.0,0.0,0.0,1.0,3.0,4.0,1.0,3.8994712966133895,0,0,,,,1,5,True,1677,True,False,peer5,UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,232,0,36.0,102.0,273.0,404.0,610.0,0.0,1.0,1.0,2.0,3.0,1.0,3.5407504623834702,0,0,,,,2,5,True,745,True,False,peer6,UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,True
1968,1968,2000,0.984,0.0,0,322,0,43.0,329.0,741.0,1254.0,1606.0,0.0,2.0,2.0,3.0,4.0,1.0,2.324911793462089,3818,2,3220.0,3220.0,3220.0,4,6,True,3778,True,False,peer7,UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,235,0,35.0,104.0,279.0,410.0,633.0,0.0,1.0,1.0,2.0,3.0,1.0,3.691099060723677,0,0,,,,2,6,True,696,True,False,peer8,UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,True
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,0,0,,,,0,0,False,30001,False,True,peer9,UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,188,0,0.0,127.0,292.0,425.0,626.0,0.0,1.0,2.0,3.0,4.0,1.0,3.029337108951102,0,0,,,,7,10,True,780,True,False,peer1,UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,268,0,47.0,255.0,486.0,753.0,969.0,0.0,2.0,3.0,4.0,4.0,1.0,3.84952360550997,0,0,,,,3,7,True,808,True,False,peer10,UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,True
1953,1953,2000,0.9765,0.0,0,178,0,33.0,135.0,315.0,521.0,824.0,0.0,0.0,2.0,3.0,5.0,1.0,4.367560876913189,0,0,,,,5,9,True,5357,True,False,peer2,UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,True
1988,1988,2000,0.994,0.0,0,156,0,33.0,104.0,312.0,553.0,1063.0,0.0,0.0,1.0,3.0,4.0,1.0,3.0064531537564565,704,1,704.0,704.0,704.0,6,9,True,1736,True,False,peer3,UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,True
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,0,0,,,,0,0,False,30001,False,True,peer4,UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,True
1988,1988,2000,0.994,0.0,0,271,0,44.0,251.0,465.0,711.0,922.0,0.0,2.0,3.0,4.0,5.0,1.0,3.3829624771630673,0,0,,,,5,8,True,1749,True,False,peer5,UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,True
1953,1953,2000,0.9765,0.0,0,176,0,36.0,130.0,307.0,495.0,870.0,0.0,0.0,2.0,3.0,5.0,1.0,4.663527818808468,0,0,,,,4,8,True,4312,True,False,peer6,UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,True
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,0,0,,,,0,0,False,30001,False,True,peer7,UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,True
1990,1990,2000,0.995,0.0,0,120,0,30.0,101.0,306.0,508.0,777.0,0.0,0.0,1.0,3.0,4.0,1.0,4.800499498167729,0,0,,,,4,8,True,692,True,False,peer8,UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,True
1988,1988,2000,0.994,0.0,0,272,0,39.0,256.0,481.0,709.0,1106.0,0.0,2.0,3.0,4.0,5.0,1.0,3.641941087507199,0,0,,,,2,5,True,1824,True,False,peer9,UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9885235572772033,0,0,,,,9,13,True,745,True,False,peer1,UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,True
1941,1941,2000,0.9705,0.0,0,79,0,36.0,97.0,304.0,505.0,814.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0587092037258317,0,0,,,,1,4,True,6443,True,False,peer10,UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,True
1987,1987,2000,0.9935,0.0,0,167,0,36.0,106.0,304.0,510.0,829.0,0.0,0.0,2.0,3.0,4.0,1.0,4.929825878114681,0,0,,,,3,7,True,1696,True,False,peer2,UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,True
1988,1988,2000,0.994,0.0,0,169,0,34.0,109.0,316.0,553.0,1663.0,0.0,0.0,2.0,3.0,4.0,1.0,4.838954809154573,0,0,,,,6,9,True,1723,True,False,peer3,UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,250,0,38.0,115.0,285.0,407.0,591.0,0.0,1.0,2.0,2.0,3.0,1.0,3.7315134600306163,1534,1,1534.0,1534.0,1534.0,5,8,True,655,True,False,peer4,UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,True
1988,1988,2000,0.994,0.0,0,174,0,30.0,108.0,308.0,489.0,645.0,1.0,1.0,1.0,2.0,3.0,1.0,3.966950864545885,0,0,,,,2,6,True,1715,True,False,peer5,UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,True
1965,1965,2000,0.9825,0.0,0,202,0,35.0,97.0,277.0,412.0,598.0,0.0,1.0,1.0,2.0,3.0,1.0,4.135782808175027,0,0,,,,3,6,True,3788,True,False,peer6,UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,True
1988,1988,2000,0.994,0.0,0,148,0,34.0,105.0,312.0,505.0,714.0,1.0,1.0,1.0,3.0,4.0,1.0,3.9463781175785906,0,0,,,,2,6,True,1704,True,False,peer7,UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,207,0,36.0,149.0,349.0,609.0,873.0,0.0,0.0,2.0,3.0,4.0,1.0,3.9409039157863304,0,0,,,,3,7,True,710,True,False,peer8,UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,True
1997,1997,2000,0.9985,0.0,0,202,0,31.0,111.0,315.0,543.0,1719.0,0.0,1.0,2.0,3.0,5.0,1.0,3.5943748483094673,822,1,822.0,822.0,822.0,4,8,True,664,True,False,peer9,UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,202,0,0.0,108.0,242.0,387.0,454.0,0.0,1.0,2.0,3.0,4.0,1.0,3.9971363943753935,0,0,,,,6,10,True,771,True,False,peer1,UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,309,0,38.0,249.0,446.0,654.0,902.0,0.0,2.0,2.0,3.0,5.0,1.0,3.9170754245870807,0,0,,,,2,6,True,714,True,False,peer10,UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,True
1967,1967,2000,0.9835,0.0,0,178,0,36.0,127.0,300.0,463.0,656.0,0.0,0.0,2.0,3.0,4.0,1.0,4.870332801781485,0,0,,,,1,5,True,2960,True,False,peer2,UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,186,0,35.0,108.0,294.0,459.0,640.0,0.0,0.0,2.0,3.0,4.0,1.0,3.8401645083888076,0,0,,,,2,5,True,757,True,False,peer3,UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,238,0,35.0,150.0,312.0,454.0,677.0,0.0,0.0,2.0,3.0,5.0,1.0,3.934445796558171,0,0,,,,1,5,True,761,True,False,peer4,UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,182,0,34.0,128.0,333.0,588.0,1139.0,0.0,0.0,1.0,3.0,4.0,1.0,3.276398979082387,312,1,312.0,312.0,312.0,5,8,True,700,True,False,peer5,UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,True
1988,1988,2000,0.994,0.0,0,148,0,37.0,100.0,305.0,499.0,794.0,0.0,0.0,1.0,3.0,5.0,1.0,3.682888952487297,693,1,693.0,693.0,693.0,2,6,True,1714,True,False,peer6,UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,True
1956,1956,2000,0.978,0.0,0,253,0,85.0,253.0,466.0,669.0,871.0,1.0,2.0,3.0,4.0,5.0,1.0,2.818342890891425,0,0,,,,1,4,True,5156,True,False,peer7,UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,True
1988,1988,2000,0.994,0.0,0,122,0,33.0,99.0,309.0,506.0,877.0,0.0,0.0,1.0,3.0,5.0,1.0,2.8888586497494324,0,0,,,,3,6,True,1741,True,False,peer8,UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,True
1905,1905,2000,0.9525,0.0,0,254,0,81.0,255.0,470.0,755.0,1055.0,1.0,2.0,3.0,4.0,5.0,1.0,2.2616003047827444,0,0,,,,0,4,True,10192,True,False,peer9,UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.992446122047152,0,0,,,,8,12,True,787,True,False,peer1,UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,161,0,30.0,115.0,317.0,550.0,992.0,0.0,1.0,2.0,3.0,4.0,1.0,3.5268145726296125,880,1,880.0,880.0,880.0,6,9,True,769,True,False,peer10,UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,True
1984,1984,2000,0.992,0.0,0,364,0,45.0,308.0,629.0,938.0,4111.0,1.0,1.0,3.0,3.0,4.0,1.0,4.830343908891349,0,0,,,,4,8,True,1837,True,False,peer2,UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,True
1967,1967,2000,0.9835,0.0,0,89,0,35.0,97.0,303.0,513.0,5156.0,1.0,1.0,1.0,3.0,4.0,1.0,2.4134897638840807,0,0,,,,2,6,True,4050,True,False,peer3,UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,True
1997,1997,2000,0.9985,0.0,0,141,0,33.0,102.0,318.0,538.0,4160.0,0.0,0.0,2.0,3.0,4.0,1.0,3.933349193687579,835,1,835.0,835.0,835.0,1,5,True,712,True,False,peer4,UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,True
1978,1978,2000,0.989,0.0,0,175,0,37.0,92.0,272.0,440.0,4404.0,0.0,1.0,1.0,3.0,5.0,1.0,3.6135139469290345,0,0,,,,1,5,True,2862,True,False,peer5,UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,True
1987,1987,2000,0.9935,0.0,0,322,0,44.0,306.0,625.0,976.0,1407.0,1.0,2.0,2.0,3.0,4.0,1.0,3.750033990801386,0,0,,,,4,7,True,1787,True,False,peer6,UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,True
1988,1988,2000,0.994,0.0,0,197,0,36.0,102.0,266.0,407.0,3960.0,0.0,0.0,1.0,2.0,4.0,1.0,4.957108205366401,0,0,,,,2,6,True,1746,True,False,peer7,UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,True
1946,1946,2000,0.973,0.0,0,133,0,33.0,102.0,303.0,486.0,714.0,1.0,1.0,2.0,3.0,3.0,1.0,3.3642077628414566,0,0,,,,2,5,True,6179,True,False,peer8,UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,121,0,35.0,105.0,313.0,585.0,862.0,0.0,0.0,1.0,3.0,5.0,1.0,3.761770279984689,0,0,,,,5,9,True,700,True,False,peer9,UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.981419470380285,0,0,,,,4,8,True,758,True,False,peer1,UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,True
1924,1924,2000,0.962,0.0,0,58,0,31.0,97.0,307.0,609.0,1110.0,1.0,1.0,1.0,2.0,3.0,1.0,1.9622573254552031,0,0,,,,0,2,True,8165,True,False,peer10,UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,True
1964,1964,2000,0.982,0.0,0,113,0,35.0,100.0,306.0,510.0,1019.0,1.0,1.0,1.0,3.0,4.0,1.0,3.623050227098169,0,0,,,,1,4,True,4215,True,False,peer2,UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,178,0,36.0,107.0,329.0,570.0,1007.0,0.0,0.0,1.0,2.0,4.0,1.0,3.284493330038374,408,1,408.0,408.0,408.0,2,6,True,676,True,False,peer3,UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,True
1929,1929,2000,0.9645,0.0,0,103,0,36.0,103.0,307.0,596.0,1172.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0450675965716987,0,0,,,,2,5,True,7657,True,False,peer4,UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,204,0,36.0,102.0,274.0,431.0,680.0,0.0,0.0,1.0,1.0,3.0,1.0,3.3714868624997667,0,0,,,,1,5,True,805,True,False,peer5,UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,True
1934,1934,2000,0.967,0.0,0,287,0,47.0,305.0,663.0,1100.0,1759.0,1.0,2.0,2.0,3.0,4.0,1.0,4.689250378134664,0,0,,,,3,6,True,7693,True,False,peer6,UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,True
1963,1963,2000,0.9815,0.0,0,144,0,37.0,103.0,308.0,558.0,903.0,0.0,0.0,1.0,3.0,4.0,1.0,4.287797496216811,0,0,,,,2,5,True,4195,True,False,peer7,UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,True
1998,1998,2000,0.999,0.0,0,133,0,37.0,106.0,312.0,543.0,730.0,0.0,0.0,2.0,3.0,4.0,1.0,3.696587772306774,0,0,,,,2,6,True,781,True,False,peer8,UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,True
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,0,0,,,,0,0,False,30002,False,True,peer9,UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,True
